name,link,profile_photo,department,descipline
Elodie de Boissieu,https://www.researchgate.netprofile/Elodie-Boissieu,https://i1.rgstatic.net/ii/profile.image/428091198709763-1479076303942_Q64/Elodie-Boissieu.jpg,Marketing,"['Luxury', 'Retail']"
Mohamed Hachaichi,https://www.researchgate.netprofile/Mohamed-Hachaichi,https://i1.rgstatic.net/ii/profile.image/1015935603339264-1619229331359_Q64/Mohamed-Hachaichi.jpg,,"['Sustainable Urban Communities', 'Input-Output Analysis', 'Urban Resilience']"
Mathilde Aubry,https://www.researchgate.netprofile/Mathilde-Aubry-2,https://i1.rgstatic.net/ii/profile.image/604707592617984-1521184933249_Q64/Mathilde-Aubry-2.jpg,Métis,[]
Mohammadali Vosooghidizaji,https://www.researchgate.netprofile/Mohammadali-Vosooghidizaji,https://i1.rgstatic.net/ii/profile.image/280292758704128-1443838409407_Q64/Mohammadali-Vosooghidizaji.jpg,Supply Chain Management & Decision Sciences,"['Supply Chain Management', 'Operations Management', 'Optimization']"
Delphine Minchella,https://www.researchgate.netprofile/Delphine-Minchella,https://i1.rgstatic.net/ii/profile.image/506865987198981-1497857676848_Q64/Delphine-Minchella.jpg,EM Normandie Business School,[]
Aude Rychalski,https://www.researchgate.netprofile/Aude-Rychalski,https://i1.rgstatic.net/ii/profile.image/708099723776002-1545835538673_Q64/Aude-Rychalski.jpg,EM Normandie Business School,"['Customer Service', 'Customer Satisfaction', 'Social Emotions']"
Muriel Durand,https://www.researchgate.netprofile/Muriel-Durand,https://i1.rgstatic.net/ii/profile.image/460934696181761-1486906803124_Q64/Muriel-Durand.jpg,HR & Organisation,"['M&A', 'Mergers', 'Cross-Cultural Management']"
Isabelle Lacombe,https://www.researchgate.netprofile/Isabelle-Lacombe,https://i1.rgstatic.net/ii/profile.image/982394588897289-1611232530931_Q64/Isabelle-Lacombe.jpg,,"['Accounting Information Systems', 'Costing', 'Management Accounting']"
Nazik Fadil,https://www.researchgate.netprofile/Nazik-Fadil,https://i1.rgstatic.net/ii/profile.image/1065461395513345-1631037200648_Q64/Nazik-Fadil.jpg,Department of Finance,"['International Development', 'Entrepreneurship', 'Articles']"
Belaid Samy,https://www.researchgate.netprofile/Belaid-Samy,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Marketing,"['Branding', 'Brand Management', 'Consumer Psychology']"
Yanis Khalifa,https://www.researchgate.netprofile/Yanis-Khalifa,https://i1.rgstatic.net/ii/profile.image/277690029494272-1443217870116_Q64/Yanis-Khalifa.jpg,Institut du Développement Territorial,"['Citizen Participation', 'Local Governance', 'Public Management']"
Miriam Schmidkonz,https://www.researchgate.netprofile/Miriam-Schmidkonz,https://i1.rgstatic.net/ii/profile.image/280132444016646-1443800187406_Q64/Miriam-Schmidkonz.jpg,School of Business,"['Teaching and Learning', 'Teacher Training', 'Pedagogy']"
Hela Helioui,https://www.researchgate.netprofile/Hela-Helioui,https://i1.rgstatic.net/ii/profile.image/280348828160014-1443851777813_Q64/Hela-Helioui.jpg,Management,"['Marketing Management', 'Management', 'Strategic Marketing']"
