name,link,profile_photo,department,descipline
Michael Pigault,https://www.researchgate.netprofile/Michael-Pigault,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Executive MBA,"['Logistics', 'SCM', 'Operations Management']"
Lesaunier Elise,https://www.researchgate.netprofile/Lesaunier-Elise,https://i1.rgstatic.net/ii/profile.image/350817275138048-1460652764049_Q64/Lesaunier-Elise.jpg,Department of Communication,"['Communication', 'Social Communication', 'New Media Technology']"
Marion Chapre,https://www.researchgate.netprofile/Marion-Chapre,https://i1.rgstatic.net/ii/profile.image/399106225786881-1472165747698_Q64/Marion-Chapre.jpg,marketing,['Food Consumption']
Lemire NAdège,https://www.researchgate.netprofile/Lemire-Nadege,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,76,[]
Maxence pierre Germin,https://www.researchgate.netprofile/Maxence-Germin,https://i1.rgstatic.net/ii/profile.image/364177987260417-1463838206233_Q64/Maxence-Germin.jpg,Management,"['Management', 'Business', 'Strategic Management']"
Robinson Lefebvre,https://www.researchgate.netprofile/Robinson-Lefebvre,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Marketing,[]
Maxime Joly,https://www.researchgate.netprofile/Maxime-Joly,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,,[]
Théophile Berthoux,https://www.researchgate.netprofile/Theophile-Berthoux,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,14200,[]
Decaix Charlotte,https://www.researchgate.netprofile/Decaix-Charlotte,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EMBA Management par le projet,[]
Rebekka Kündig,https://www.researchgate.netprofile/Rebekka-Kuendig,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,School of Business,[]
Simplice Glokou,https://www.researchgate.netprofile/Simplice-Glokou,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Student,['Information System Management']
Caroline Watripont,https://www.researchgate.netprofile/Caroline-Watripont,https://i1.rgstatic.net/ii/profile.image/387081193967617-1469298756758_Q64/Caroline-Watripont.jpg,mba,"['Strategic Management', 'Management', 'Business Development']"
Anthony Panetto,https://www.researchgate.netprofile/Anthony-Panetto,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Audit-Finance,[]
Landry Bournez,https://www.researchgate.netprofile/Landry-Bournez,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,76,[]
Corentin Lecuyer,https://www.researchgate.netprofile/Corentin-Lecuyer,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,finance des groupes,[]
Daniel Beyeme,https://www.researchgate.netprofile/Daniel-Beyeme,https://i1.rgstatic.net/ii/profile.image/408320889376769-1474362694700_Q64/Daniel-Beyeme.jpg,Finance de groupes,"['Software Asset Management', 'IT Infrastructure', 'Licensing']"
Perrine Boënnec,https://www.researchgate.netprofile/Perrine-Boennec,https://i1.rgstatic.net/ii/profile.image/410477680185352-1474876913890_Q64/Perrine-Boennec.jpg,Digital Management,"['Culture', 'Visual Culture', 'Art']"
Harislur Pauline,https://www.researchgate.netprofile/Harislur-Pauline,https://i1.rgstatic.net/ii/profile.image/410493341716494-1474880647625_Q64/Harislur-Pauline.jpg,14000,"['Art', 'Visual Communication', 'Creativity and Innovation']"
Maxime Schucke,https://www.researchgate.netprofile/Maxime-Schucke,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Management du numérique,[]
Marc Baumy,https://www.researchgate.netprofile/Marc-Baumy,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,master,"['Strategic Management', 'Management']"
Marie Boudehen,https://www.researchgate.netprofile/Marie-Boudehen,https://i1.rgstatic.net/ii/profile.image/410927410237448-1474984137919_Q64/Marie-Boudehen.jpg,75016,"['Marketing Management', 'Marketing Communication', 'Social Media Marketing']"
Dussoulier Camille,https://www.researchgate.netprofile/Dussoulier_Camille,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Management Numérique,[]
Anouar Achahboun,https://www.researchgate.netprofile/Anouar-Achahboun,https://i1.rgstatic.net/ii/profile.image/413189276749835-1475523408691_Q64/Anouar-Achahboun.jpg,Management,"['General Economics', 'Economic Development']"
Constance Guet,https://www.researchgate.netprofile/Constance-Guet,https://i1.rgstatic.net/ii/profile.image/413749027590148-1475656863681_Q64/Constance-Guet.jpg,14000,[]
Kevin Roux,https://www.researchgate.netprofile/Kevin-Roux-2,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,14000,"['Strategic Management', 'Marketing Management', 'Management']"
Amel Kaoua,https://www.researchgate.netprofile/Amel-Kaoua,https://i1.rgstatic.net/ii/profile.image/415647931617280-1476109597224_Q64/Amel-Kaoua.jpg,EM Normandie Business School,"['Management', 'Marketing Management', 'Strategic Management']"
Yuelei Huang,https://www.researchgate.netprofile/Yuelei-Huang,https://i1.rgstatic.net/ii/profile.image/424472571322368-1478213555763_Q64/Yuelei-Huang.jpg,SCM,"['SCM', 'Logistics', 'Operations Management']"
Rachel Sanchez,https://www.researchgate.netprofile/Rachel-Sanchez-3,https://i1.rgstatic.net/ii/profile.image/426486424444929-1478693695716_Q64/Rachel-Sanchez-3.jpg,Department of Information Systems,"['Information Technology', 'IT Project Management', 'Information System Management']"
Marie Larée,https://www.researchgate.netprofile/Marie-Laree,https://i1.rgstatic.net/ii/profile.image/538101540163588-1505304812418_Q64/Marie-Laree.jpg,Student entrepreneurship,[]
Nathan Cornay,https://www.researchgate.netprofile/Nathan-Cornay,https://i1.rgstatic.net/ii/profile.image/427670325469187-1478975959881_Q64/Nathan-Cornay.jpg,76600,['Sustainable Economic Development']
Pierre Crosnier,https://www.researchgate.netprofile/Pierre-Crosnier,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,76600,"['Entrepreneurship', 'Business']"
Ophélie Princé,https://www.researchgate.netprofile/Ophelie-Prince-2,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Marketing,[]
Juliette Dô,https://www.researchgate.netprofile/Juliette_Do,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,international business,[]
Elsa Bertrand,https://www.researchgate.netprofile/Elsa-Bertrand-2,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Achats,[]
Emilie Filoni,https://www.researchgate.netprofile/Emilie-Filoni,https://i1.rgstatic.net/ii/profile.image/439639451410434-1481829621408_Q64/Emilie-Filoni.jpg,Paris,"['Management', 'Human Resource Management', 'Strategic Management']"
Nils Ramstein,https://www.researchgate.netprofile/Nils-Ramstein-2,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,HR,"['Human Resource Management', 'Leadership', 'Human Resource Development']"
Claire Caron,https://www.researchgate.netprofile/Claire_Caron,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,14000,"['Auditing', 'Accounting']"
Brangeon Xavier,https://www.researchgate.netprofile/Brangeon-Xavier-2,https://i1.rgstatic.net/ii/profile.image/441310676033538-1482228072577_Q64/Brangeon-Xavier-2.jpg,"Master 2 ""Management""","['Logistics', 'Operations Management']"
Pauline Lewandowski,https://www.researchgate.netprofile/Pauline-Lewandowski,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,,"['Social Exclusion', 'Gender Studies', 'Cultural Sociology']"
Gaelle Hardy,https://www.researchgate.netprofile/Gaelle_Hardy2,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EXECUTIVE EDUCATION,[]
Adèle Terrier,https://www.researchgate.netprofile/Adele-Terrier,https://i1.rgstatic.net/ii/profile.image/460662137724930-1486841820275_Q64/Adele-Terrier.jpg,Group corporate finance,"['Finance', 'Corporate Finance', 'Financial Analysis']"
Maïté Sieux,https://www.researchgate.netprofile/Maite-Sieux,https://i1.rgstatic.net/ii/profile.image/461607366074380-1487067180984_Q64/Maite-Sieux.jpg,Marketing,['Business Marketing']
Vouillemont Geneviève,https://www.researchgate.netprofile/Vouillemont-Genevieve,https://i1.rgstatic.net/ii/profile.image/463875029114881-1487607833971_Q64/Vouillemont-Genevieve.jpg,Documentation,"['Management', 'Entrepreneurship', 'Human Resource Management']"
Lidia Ben Zahra,https://www.researchgate.netprofile/Lidia-Ben-Zahra,https://i1.rgstatic.net/ii/profile.image/463984462700545-1487633924053_Q64/Lidia-Ben-Zahra.jpg,MARKETING ET STREATEGIE COMMERCIALE,"['Academic Writing', 'Research Methodology', 'Qualitative Analysis']"
Ryma Ck,https://www.researchgate.netprofile/Ryma_Ck,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Management,"['Management', 'Strategic Management', 'Entrepreneurship']"
Anna Fall,https://www.researchgate.netprofile/Anna-Fall,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,14000,[]
Andrea De Ascó Cortés,https://www.researchgate.netprofile/Andrea-De-Asco-Cortes,https://i1.rgstatic.net/ii/profile.image/466736324583424-1488290019676_Q64/Andrea-De-Asco-Cortes.jpg,Caen,"['Marketing Management', 'Strategic Marketing', 'Branding']"
Xavier Leclerc,https://www.researchgate.netprofile/Xavier-Leclerc-2,https://i1.rgstatic.net/ii/profile.image/467066005266433-1488368621364_Q64/Xavier-Leclerc-2.jpg,management,['Management']
Dorsaf Hosni,https://www.researchgate.netprofile/Dorsaf-Hosni,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,[]
Laura Fucci,https://www.researchgate.netprofile/Laura-Fucci-2,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,"['Supply Chain Management', 'Information Technology', 'Information and Communication Technology']"
Victor Thiery,https://www.researchgate.netprofile/Victor-Thiery,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,"['Marketing Management', 'Business Development', 'Business']"
Elise Roméo,https://www.researchgate.netprofile/Elise-Romeo,https://i1.rgstatic.net/ii/profile.image/468198320545794-1488638586111_Q64/Elise-Romeo.jpg,76,"['Agricultural Marketing', 'Food Marketing']"
Florian Degrelle,https://www.researchgate.netprofile/Florian-Degrelle,https://i1.rgstatic.net/ii/profile.image/468573572341762-1488728053892_Q64/Florian-Degrelle.jpg,EM Normandie Business School,"['Financial Analysis', 'Finance', 'Financial Accounting']"
Batrel Victor,https://www.researchgate.netprofile/Batrel-Victor,https://i1.rgstatic.net/ii/profile.image/468694259245057-1488756827632_Q64/Batrel-Victor.jpg,EM Normandie Business School,"['Financial Analysis', 'Finance', 'Financial Risk Management']"
Benjamin Wierzchalek,https://www.researchgate.netprofile/Benjamin-Wierzchalek,https://i1.rgstatic.net/ii/profile.image/469375179333634-1488919171345_Q64/Benjamin-Wierzchalek.jpg,Department of Finance,"['Corporate Finance', 'Investment', 'Banking and Finance']"
Jelena Rajcic,https://www.researchgate.netprofile/Jelena-Rajcic,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,[]
Sébastien Soufflet,https://www.researchgate.netprofile/Sebastien-Soufflet,https://i1.rgstatic.net/ii/profile.image/476604087443458-1490642677204_Q64/Sebastien-Soufflet.jpg,EM Normandie Business School,"['Operations Management', 'Engineering Management', 'Logistics']"
Chloé Lecoq,https://www.researchgate.netprofile/Chloe-Lecoq-2,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,[]
Théo Dav,https://www.researchgate.netprofile/Theo-Dav,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,[]
Adouni Arinloye,https://www.researchgate.netprofile/Adouni-Arinloye,https://i1.rgstatic.net/ii/profile.image/498959278972928-1495972570369_Q64/Adouni-Arinloye.jpg,EM Normandie Business School,"['Marketing Management', 'Strategic Marketing', 'Management']"
Yoann Genouville,https://www.researchgate.netprofile/Yoann-Genouville,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,"['Marketing Management', 'Management', 'Strategic Marketing']"
Godefroy De la Serre,https://www.researchgate.netprofile/Godefroy-De-La-Serre,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,"['Information System Management', 'IT Project Management']"
Clement Dard,https://www.researchgate.netprofile/Clement-Dard,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,[]
Naëlle Blondel,https://www.researchgate.netprofile/Naelle-Blondel,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,"['Marketing Management', 'Management', 'Strategic Planning']"
Thibaud Moyon,https://www.researchgate.netprofile/Thibaud-Moyon,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,School of Business,[]
Albrieux Edouard,https://www.researchgate.netprofile/Albrieux-Edouard,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,"['Logistics', 'Transportation', 'Container Shipping']"
Pierre Gervais,https://www.researchgate.netprofile/Pierre-Gervais-3,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,"['Marketing Management', 'Business Development', 'Management']"
Lapouble Rémy,https://www.researchgate.netprofile/Lapouble-Remy,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Department of Finance,"['Financial Accounting', 'Accounting', 'Auditing']"
Tzuyuan Kuan,https://www.researchgate.netprofile/Tzuyuan-Kuan,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,[]
Ildikó Medve,https://www.researchgate.netprofile/Ildiko-Medve,https://i1.rgstatic.net/ii/profile.image/565686376333312-1511881550996_Q64/Ildiko-Medve.jpg,EM Normandie Business School,"['Strategic Marketing', 'Marketing Management', 'Management']"
Menghan Chi,https://www.researchgate.netprofile/Menghan-Chi,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,['International Business']
Thomas Saboya,https://www.researchgate.netprofile/Thomas-Saboya,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,[]
Antony Pegorier,https://www.researchgate.netprofile/Antony-Pegorier,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,[]
Natalia Kyc,https://www.researchgate.netprofile/Natalia-Kyc,https://i1.rgstatic.net/ii/profile.image/721131132706822-1548942468386_Q64/Natalia-Kyc.jpg,EM Normandie Business School,['Power Point Presentation']
Gas Wi,https://www.researchgate.netprofile/Gas-Wi,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,[]
Céline Pedrazzini,https://www.researchgate.netprofile/Celine_Pedrazzini,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,International Business,[]
Alban de Legge de Kerlean,https://www.researchgate.netprofile/Alban-De-Legge-De-Kerlean,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,['Marketing Management']
Sahar Sfaxi,https://www.researchgate.netprofile/Sahar-Sfaxi,https://i1.rgstatic.net/ii/profile.image/554590510608385-1509236089465_Q64/Sahar-Sfaxi.jpg,EM Normandie Business School,"['Marketing Management', 'Management', 'Strategic Management']"
Alexis Jupin,https://www.researchgate.netprofile/Alexis-Jupin,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,[]
Louise Delporte,https://www.researchgate.netprofile/Louise-Delporte,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,"['Marketing Management', 'Branding', 'Customer Satisfaction']"
Corentin Rault,https://www.researchgate.netprofile/Corentin-Rault,https://i1.rgstatic.net/ii/profile.image/560201771044864-1510573918029_Q64/Corentin-Rault.jpg,EM Normandie Business School,"['Business Development', 'Management', 'Entrepreneurship']"
Simon Traoré,https://www.researchgate.netprofile/Simon-Traore,https://i1.rgstatic.net/ii/profile.image/560201259589632-1510573796693_Q64/Simon-Traore.jpg,EM Normandie Business School,[]
Eloïse Pesnel,https://www.researchgate.netprofile/Eloise-Pesnel,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,"['Economic Development', 'Economic Analysis']"
Julien Thomas,https://www.researchgate.netprofile/Julien-Thomas-6,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,"['Branding', 'Advertising', 'Brand Management']"
Martin Verzier,https://www.researchgate.netprofile/Martin-Verzier,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,"['Corporate Finance', 'Investment', 'Banking and Finance']"
Paul Le Bolay,https://www.researchgate.netprofile/Paul-Le-Bolay,https://i1.rgstatic.net/ii/profile.image/568615222558720-1512579841925_Q64/Paul-Le-Bolay.jpg,Department of Finance,[]
Elle Rdgs,https://www.researchgate.netprofile/Elle-Rdgs,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,"['Human Resource Management', 'Management', 'Leadership']"
William Luck,https://www.researchgate.netprofile/William-Luck,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,['Organic Farming']
Fanny Montemurro,https://www.researchgate.netprofile/Fanny-Montemurro,https://i1.rgstatic.net/ii/profile.image/579120746119173-1515084553661_Q64/Fanny-Montemurro.jpg,EM Normandie Business School,"['Communication', 'Strategic Communication', 'Communication Management']"
Keith Lucas,https://www.researchgate.netprofile/Keith-Lucas-2,https://i1.rgstatic.net/ii/profile.image/583106973143040-1516034944905_Q64/Keith-Lucas-2.jpg,EM Normandie Business School,"['Qualitative Analysis', 'Cultural Studies', 'Ethnography']"
Yoann Fleury,https://www.researchgate.netprofile/Yoann-Fleury,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,,"['Management', 'Human Resource Management', 'Organizational Development']"
Alexia Verlet,https://www.researchgate.netprofile/Alexia-Verlet,https://i1.rgstatic.net/ii/profile.image/585862819639296-1516691989893_Q64/Alexia-Verlet.jpg,EM Normandie Business School,"['Entrepreneurship', 'Business Development', 'Business']"
Justine Mazzolini,https://www.researchgate.netprofile/Justine-Mazzolini,https://i1.rgstatic.net/ii/profile.image/586260750024704-1516786863843_Q64/Justine-Mazzolini.jpg,EM Normandie Business School,"['Sociology', 'Qualitative Analysis', 'Social Exclusion']"
Judith Bertin,https://www.researchgate.netprofile/Judith-Bertin,https://i1.rgstatic.net/ii/profile.image/589564980789248-1517574653460_Q64/Judith-Bertin.jpg,EM Normandie Business School,"['Strategic Management', 'Business Development', 'International Business Management']"
Agathe Edart,https://www.researchgate.netprofile/Agathe-Edart,https://i1.rgstatic.net/ii/profile.image/590698235572225-1517844842929_Q64/Agathe-Edart.jpg,EM Normandie Business School,['Marketing']
Hanling Zhu,https://www.researchgate.netprofile/Hanling-Zhu,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,[]
Theo Dutertre,https://www.researchgate.netprofile/Theo-Dutertre,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,School of Business,[]
Louis Guiselin,https://www.researchgate.netprofile/Louis-Guiselin,https://i1.rgstatic.net/ii/profile.image/593542493786119-1518522966526_Q64/Louis-Guiselin.jpg,EM Normandie Business School,"['Economic Analysis', 'Economic Development', 'General Economics']"
Simon Krantz,https://www.researchgate.netprofile/Simon-Krantz,https://i1.rgstatic.net/ii/profile.image/593881217376257-1518603724531_Q64/Simon-Krantz.jpg,EM Normandie Business School,[]
Mariem Dh,https://www.researchgate.netprofile/Mariem-Dh,https://i1.rgstatic.net/ii/profile.image/595696952565760-1519036629591_Q64/Mariem-Dh.jpg,Department of Finance,"['Finance', 'Financial Analysis', 'Corporate Finance']"
Adrien Rodesch,https://www.researchgate.netprofile/Adrien-Rodesch,https://i1.rgstatic.net/ii/profile.image/597561878523905-1519481262426_Q64/Adrien-Rodesch.jpg,EM Normandie Business School,"['Marketing Management', 'Strategic Management', 'Business']"
Guillaume Lalanne,https://www.researchgate.netprofile/Guillaume-Lalanne,https://i1.rgstatic.net/ii/profile.image/598376009699331-1519675366958_Q64/Guillaume-Lalanne.jpg,Department of Finance,['Finance']
Eric Bernard,https://www.researchgate.netprofile/Eric-Bernard-2,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,"['Corporate Governance', 'Finance', 'Financial Risk Management']"
Olivier Sabatier,https://www.researchgate.netprofile/Olivier-Sabatier,https://i1.rgstatic.net/ii/profile.image/598985626628096-1519820710650_Q64/Olivier-Sabatier.jpg,EM Normandie Business School,"['Marketing Management', 'Strategic Management', 'Strategic Marketing']"
Benjamin Rbl,https://www.researchgate.netprofile/Benjamin-Rbl,https://i1.rgstatic.net/ii/profile.image/599338581495808-1519904861093_Q64/Benjamin-Rbl.jpg,EM Normandie Business School,"['Innovation', 'Strategic Management', 'Management']"
Gabrielle Catté,https://www.researchgate.netprofile/Gabrielle-Catte,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,[]
Jean-Philippe Godefert,https://www.researchgate.netprofile/Jean-Philippe-Godefert,https://i1.rgstatic.net/ii/profile.image/599363134963713-1519910715101_Q64/Jean-Philippe-Godefert.jpg,EM Normandie Business School,"['Business Administration', 'Marketing Communication', 'Project Management']"
Lucas Ranchin,https://www.researchgate.netprofile/Lucas-Ranchin,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,School of Business,[]
Alizée Marsil,https://www.researchgate.netprofile/Alizee-Marsil,https://i1.rgstatic.net/ii/profile.image/603729854205953-1520951822949_Q64/Alizee-Marsil.jpg,EM Normandie Business School,"['General Economics', 'Microfinance', 'Management']"
Vezir Sahmanovic,https://www.researchgate.netprofile/Vezir-Sahmanovic,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,"['Communication', 'Mass Communication', 'Media Studies']"
Diana Fernandez,https://www.researchgate.netprofile/Diana-Fernandez-15,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,School of Business,"['Management', 'Business', 'Marketing Management']"
Bouin Maxime,https://www.researchgate.netprofile/Bouin_Maxime,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,,"['Management', 'Business Development', 'Marketing Management']"
Ana Hub,https://www.researchgate.netprofile/Ana-Hub,https://i1.rgstatic.net/ii/profile.image/619970396430348-1524823869959_Q64/Ana-Hub.jpg,EM Normandie Business School,"['Marketing Management', 'Strategic Marketing', 'Brand Management']"
Morgane Dupuis-Monot,https://www.researchgate.netprofile/Morgane-Dupuis-Monot,https://i1.rgstatic.net/ii/profile.image/622187916574722-1525352567601_Q64/Morgane-Dupuis-Monot.jpg,EM Normandie Business School,"['Strategic Management', 'Marketing Management', 'Strategic Marketing']"
Arthur Gigon,https://www.researchgate.netprofile/Arthur-Gigon,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,[]
Jeremy Josub,https://www.researchgate.netprofile/Jeremy-Josub,https://i1.rgstatic.net/ii/profile.image/625581225947136-1526161595236_Q64/Jeremy-Josub.jpg,EM Normandie Business School,"['Management', 'Business']"
Alexane Boiteux,https://www.researchgate.netprofile/Alexane-Boiteux,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,[]
Ludovic Fanet,https://www.researchgate.netprofile/Ludovic-Fanet,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,"['Management', 'Strategic Management', 'Business']"
Ran Meng,https://www.researchgate.netprofile/Ran-Meng-13,https://i1.rgstatic.net/ii/profile.image/642837355966466-1530275777574_Q64/Ran-Meng-13.jpg,EM Normandie Business School,"['Management', 'Strategic Management', 'Business']"
Francois Caffi,https://www.researchgate.netprofile/Francois-Caffi-2,https://i1.rgstatic.net/ii/profile.image/643163257597952-1530353478766_Q64/Francois-Caffi-2.jpg,School of Business,"['Marketing Management', 'Strategic Management', 'Brand Experience']"
Thomas Szollosi,https://www.researchgate.netprofile/Thomas-Szollosi,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,[]
Karim-André Kamoun,https://www.researchgate.netprofile/Karim-Andre-Kamoun,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,[]
Clara Mermin,https://www.researchgate.netprofile/Clara-Mermin,https://i1.rgstatic.net/ii/profile.image/649314414112792-1531820028424_Q64/Clara-Mermin.jpg,EM Normandie Business School,"['Marketing Management', 'Strategic Marketing', 'Relational Databases']"
Etienne Valles,https://www.researchgate.netprofile/Etienne-Valles,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Department of Finance,"['Finance', 'Financial Analysis', 'Financial Accounting']"
Maximilien Prioux,https://www.researchgate.netprofile/Maximilien-Prioux,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,['Human Anatomy']
Charles Boulenge,https://www.researchgate.netprofile/Charles-Boulenge,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,[]
Saifeddine Ben Salah,https://www.researchgate.netprofile/Saifeddine-Ben-Salah-2,https://i1.rgstatic.net/ii/profile.image/658552414801920-1534022539883_Q64/Saifeddine-Ben-Salah-2.jpg,EM Normandie Business School,"['Logistics', 'Container Shipping', 'Shipping']"
Felix Levy,https://www.researchgate.netprofile/Felix-Levy-2,https://i1.rgstatic.net/ii/profile.image/661357833760784-1534691403450_Q64/Felix-Levy-2.jpg,EM Normandie Business School,"['Entrepreneurship', 'Business', 'Leadership']"
Marie Breteau,https://www.researchgate.netprofile/Marie-Breteau,https://i1.rgstatic.net/ii/profile.image/664655437508608-1535477613224_Q64/Marie-Breteau.jpg,Department of Information Systems,[]
Andry Rakotovololona,https://www.researchgate.netprofile/Andry-Rakotovololona,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Department of Finance,['Neural Networks and Artificial Intelligence']
Pierre Darcimoles,https://www.researchgate.netprofile/Pierre-Darcimoles,https://i1.rgstatic.net/ii/profile.image/673289059987471-1537536029692_Q64/Pierre-Darcimoles.jpg,EM Normandie Business School,"['Management', 'Strategic Management', 'Entrepreneurship']"
Anaelle Benz,https://www.researchgate.netprofile/Anaelle-Benz,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,['Production/Operations Management']
Jocelyn Pommier,https://www.researchgate.netprofile/Jocelyn-Pommier,https://i1.rgstatic.net/ii/profile.image/679715178283009-1539068135756_Q64/Jocelyn-Pommier.jpg,EM Normandie Business School,[]
Audrey Bellicot,https://www.researchgate.netprofile/Audrey-Bellicot-2,https://i1.rgstatic.net/ii/profile.image/680926031929349-1539356825378_Q64/Audrey-Bellicot-2.jpg,School of Business,"['SCM', 'Optimization', 'Production Management']"
