title,link,authors,publication,article_year
"Unplugged-Voices: Two days, one night (2014)",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:F1b5ZUV5XREC,"Y Bazin, G Islam, H Picard, B Vidaillet","M@ n@ gement, 124-151, 2016",2016
"Exposing companies to the philosopher’s truth-telling: Strengths, weaknesses, opportunities, and threats of parrhesia",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:48xauSegjOkC,"L Maizeray, A Janand, T Brière, Y Bazin","Revue internationale de psychosociologie et de gestion des comportements …, 2016",2016
"L’entreprise au risque du dire-vrai du philosophe: forces, faiblesses, opportunités et menaces de la parrêsia",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:P7Ujq4OLJYoC,"L Maizeray, A Janand, T Brière, Y Bazin","Revue internationale de psychosociologie et de gestion des comportements …, 2016",2016
"10 years later, why is an academic journal about society and business more relevant than ever?",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:HtS1dXgVpQUC,Y Bazin,"Society and Business Review, 2015",2015
Shall we dance? A Shakespearian reading of the subprime crisis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:4vMrXwiscB8C,Y Bazin,"Society and Business Review, 2014",2014
"7 «La Génération Y rejette l’autorité», examen critique d’un lieu commun à l’aune des travaux d’Hannah Arendt",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:cWzG1nlazyYC,Y Bazin,"Penser le management et les sciences de gestion avec Hannah Arendt, 145, 2014",2014
"Organization, Society and Politics. An Aristotelian Perspective",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:Ak0FvsSvgGUC,Y Bazin,"Society and Business Review, 2013",2013
Talking about books: from reviews to dialogues,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:OTTXONDVkokC,Y Bazin,"Society and Business Review, 2013",2013
Business Ethics and Continental Philosophy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:BJbdYPG6LGMC,Y Bazin,"Society and Business Review, 2013",2013
Belief in organizations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:43bX7VzcjpAC,Y Bazin,"Revue internationale de psychosociologie et de gestion des comportements …, 2013",2013
"RSE, vers de nouvelles formes de coopération en entreprises",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:WF5omc3nYNoC,"S Guérin, Y Bazin","La Revue des Sciences de Gestion, 67-68, 2012",2012
La pensée powerpoint (The Powerpont Thought),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:5icHVeHT4IsC,Y Bazin,"Society and Business Review, 2011",2011
Lente acquisition de la pratique et construction de l'expérience: vers une gérontocratie organisationnelle?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:2osOgNQ5qMEC,Y Bazin,"Management Avenir, 90-106, 2009",2009
"Arts and organizations: From individuals to structures, The inseparable aesthetic dimension of politics",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:BzfGm06jWhQC,"P Mairesse, G Schmidt, Y Bazin",,
Contributions attendues pour le 30 mai 2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:QD3KBmkZPeQC,"Y Bazin, EM Normandie",,
"Aesthetic objects, aesthetic judgments",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:0CzhzZyukY4C,"Y Bazin, EM Normandie, M Korica",,
L’impossible dialogue entre chercheurs en gestion et praticiens du management,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:3htObqc8RwsC,Y BAZIN,,
,,,,
