title,link,authors,publication,article_year
What impact do decision-making contexts have on the strength of consumers' attitudes during the buying experience?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:NMxIlDl6LWMC,"H Turki, S Belaid, F Sayadi, NBD Mouelhi","Management Avenir, 15-34, 2021",2021
"Après la pandémie, le cercle vertueux de la prospérité !",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:dTyEYWd-f8wC,BSFB Dorsaf,"Question(s) de management 6 (28), 159:243, 2020",2020
Les effets des activités promotionnelles et du service logistique sur la satisfaction et l’engagement des détaillants,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:WA5NYHcadZ8C,"S Belaïd, J Lacoeuilhe","HAL Post-Print, 2018",2018
Purchase motivations and levers to revitalize mid-range store brands,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:SdhP9T11ey4C,"S Belaid, J Lacœuilhe","Decisions Marketing, 75-89, 2018",2018
Purchase motivations and levers to revitalize the core market store brands,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:CHSYGLWDkRkC,"S Belaïd, J Lacoeuilhe","HAL, 2018",2018
Purchase motivations and levers to revitalize the core market store brands [Les motivations d’achat et leviers pour redynamiser l’offre des marques de distributeurs cœur de gamme],https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:bEWYMUwI8FkC,"S Belaïd, J Lacoeuilhe","HAL Post-Print, 2018",2018
Downloaded from: http://e-space. mmu. ac. uk/618930,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:eq2jaN3J8jMC,"T Mandjak, S Balaid, P Naude",,2017
"Des consommateurs hédonistes, symboliques ou fonctionnels? Développement et validation d’une échelle des benefices rattaches aux marques dans le cadre des marchés émergents: le …",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:XiSMed-E-HIC,"J Lacoeuilhe, S Ben, H Turki, S Belaïd","Revue Française du Marketing 261, pp. 65-79, 2017",2017
"Are consumers leaning towards hedonic, symbolic or functional attributes? Brand benefits scale development and validation in emerging markets: case of Tunisia [Des …",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:pyW8ca7W8N0C,"J Lacoeuilhe, S Ben, H Turki, S Belaïd","HAL Post-Print, 2017",2017
The development of trust over time in the Tunisian Automotive Sector,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:7PzlFSSx8tAC,"T Mandjak, S Balaid, P Naude","Proceedings of the 2017 CBIM Academic Workshop, 2017",2017
"Trust, does it matter in a distribution channel of an emerging market? Empirical evidence from the Tunisian automotive after-market",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:8AbLer7MMksC,"T MANDJÁK, S BELAID","MARKETING CHALLENGES IN EMERGING MARKETS CONFERENCE PROCEEDINGS 2016, 2016",2016
Rethinking offers MDD: the fresh perspective of developers and store managers combined,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:eJXPG6dFmWUC,"S Belaïd, P Breton, J Lacoeuilhe","HAL, 2016",2016
La diversité des clients,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:_B80troHkn4C,"S ORSONI, J. et BELAID","L’Encyclopédie des diversités. 2012, 2012",2012
Les déterminants perceptuels d’achat des MDD: le cas des non-acheteurs et des acheteurs occasionnels,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:LjlpjdlvIbIC,"S BELAID, J Lacoeuilhe",,
Comprendre la perception des MDD en Tunisie: une approche comparative avec la France,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:9yKSN-GCB0IC,"B Samy, BD Norchène, L Jérôme",,
,,,,
