title,link,authors,publication,article_year
An improved forecasting approach to reduce inventory levels in decentralized supply chains,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4V2lG70AAAAJ&pagesize=100&citation_for_view=4V2lG70AAAAJ:2osOgNQ5qMEC,"Y Tliche, A Taghipour, B Canel-Depitre","European Journal of Operational Research 287 (2), 511-527, 2020",2020
Downstream Demand Inference in decentralized supply chains,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4V2lG70AAAAJ&pagesize=100&citation_for_view=4V2lG70AAAAJ:u5HHmVD_uO8C,"Y Tliche, A Taghipour, B Canel-Depitre","European Journal of Operational Research 274 (1), 65-77, 2019",2019
Exploring a Downstream Demand Inference Strategy in a Decentralized Two-Level Supply Chain,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4V2lG70AAAAJ&pagesize=100&citation_for_view=4V2lG70AAAAJ:d1gkVwhDpl0C,"Y Tliche, A Taghipour, B Canel-Depitre","Demand Forecasting and Order Planning in Supply Chains and Humanitarian …, 2021",2021
Anticipation of Demand in Supply Chains,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4V2lG70AAAAJ&pagesize=100&citation_for_view=4V2lG70AAAAJ:u-x6o8ySG0sC,"Y Tliche, A Taghipour, B Canel-Depitre","Hierarchical Planning and Information Sharing Techniques in Supply Chain …, 2019",2019
Performance d’une chaîne d’approvisionnement décentralisée: Une approche de prévision collaborative par inférence,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4V2lG70AAAAJ&pagesize=100&citation_for_view=4V2lG70AAAAJ:qjMakFHDy7sC,Y Tliche,"Normandie Université, 2020",2020
Decentralized Supply Chain Performance When Demand Information Is Not Shared,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4V2lG70AAAAJ&pagesize=100&citation_for_view=4V2lG70AAAAJ:9yKSN-GCB0IC,"Y Tliche, A Taghipour, B Canel-Depitre",,
,,,,
