title,link,authors,publication,article_year
Singularité du processus entrepreneurial chez les seniors,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:Se3iqnhoufwC,"I Safraou, S Castellano, A Maalaoui, L Menvielle","La Revue des Sciences de Gestion, 59-66, 2012",2012
How French Wine Producers Use Open Innovation to Gain and Manage Their Legitimacy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:ULOm3_A8WrAC,"S Castellano, I Khelladi","Journal of the Knowledge Economy 7 (1), 155-171, 2016",2016
Integrating entrepreneurship into the design classroom: case studies from the developing world,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:HDshCWvjkbEC,"C Van Horne, V Dutot, S Castellano, M Sosa, L Ahmad","Journal of the Knowledge Economy 12 (1), 56-72, 2021",2021
Le Management par les valeurs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:zYLM7Y9cAGgC,L Bergery,"Lavoisier, 2011",2011
Entrepreneurial intensity and firm performance: The role of institutional ambidexterity,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:O3NaXMp0MMsC,"S Castellano, I Khelladi, S Ivanaj","IEEE Transactions on Engineering Management 68 (2), 350-359, 2019",2019
Uncovering the role of virtual agents in co-creation contexts: an application to the online wine business,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:bEWYMUwI8FkC,"S Castellano, I Khelladi, J Charlemagne, JP Susini","Management Decision, 2018",2018
Un cadre d'analyse de l'entrepreneuriat social: quels modèles et quels facteurs-clés de succès?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:UeHWp8X0CEIC,"A Maâlaoui, S Castellano, M Rossi, I Safraou","La Revue des Sciences de Gestion, 15-16, 2012",2012
Le développement durable comme mode de prévention des risques énergétiques: une approche par les capacités d'absorption. Le cas de la voiture électrique chez Renault,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:9yKSN-GCB0IC,"S Castellano, A Maâlaoui, J Schrempf","Management Avenir, 359-376, 2011",2011
"The adoption, diffusion & categorical ambiguity trifecta of social robots in e-health–Insights from healthcare professionals",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:fPk4N6BV_jEC,"DE Kalisz, I Khelladi, S Castellano, R Sorio","Futures 129, 102743, 2021",2021
The managerial implications of assessing corporate social performance,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:g5m5HwL7SMYC,"V Cillo, S Castellano, O Lamotte, L Ardito, M Del Giudice","Corporate Social Responsibility and Environmental Management 27 (3), 1521-1524, 2020",2020
The smartization of metropolitan cities: the case of Paris,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:SeFeTyx0c_EC,"I Khelladi, S Castellano, D Kalisz","International Entrepreneurship and Management Journal 16 (4), 1301-1325, 2020",2020
Les déterminants de la confiance de l’internaute dans le contexte d’une collecte de crowdfunding,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:M3NEmzRMIkIC,"K Khelladi, S Castellano, A Bertaud","Revue d’économie et de management de l'innovation 56 (2), 117-140, 2018",2018
Une analyse des micro-fondements de la légitimité des seniors entrepreneurs français,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:qxL8FJ1GzNcC,"S Castellano, A Maalaoui, I Safraou, O Ivanova","Conférence Micro-fondations des capacités dynamiques. Paris, France, 2016",2016
Influence du territoire sur la légitimité et le prix: le cas du secteur viti-vinicole français,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:4TOpqqG69KYC,"S Castellano, I Khelladi","Revue dEconomie Regionale Urbaine, 801-828, 2015",2015
Legitimacy: the missing link in investigating the dynamics of entrepreneurial teams in successful champagne houses,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:mB3voiENLucC,"S Castellano, I Khelladi","International Journal of Entrepreneurship and Small Business 32 (1-2), 160-180, 2017",2017
Expanding location advantages from agglomeration: a legitimacy perspective of global location portfolios in the electric vehicle industry,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:_kc_bZDykSQC,"S Castellano, A Maalaoui, A Springuel","International Journal of Entrepreneurship and Innovation Management 19 (5/6 …, 2015",2015
L’impact de la personnalisation basée sur le profil et la localisation sur le comportement du client dans un contexte de téléphonie mobile,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:0EnyYjriUFMC,"I Khelladi, S Castellano, L Limongi","Revue Française du Marketing 248 (3/5), 43-58, 2014",2014
“NO COUNTRY FOR OLD MEN” ENTREPRENEURIAL INTENTION AMONG ELDERLY: THE FRENCH CASE (SUMMARY),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:WF5omc3nYNoC,"A Maalaoui, S Castellano, I Safraou, M Bourguiba","Frontiers of Entrepreneurship Research 32 (4), 10, 2012",2012
Impact of change on organizational legitimacy: application to the Bulgarian Wine Sector,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:u5HHmVD_uO8C,"S Castellano, O Ivanova","VDQS Collioure, 2010",2010
Customer knowledge hiding behavior in service multi-sided platforms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:pyW8ca7W8N0C,"I Khelladi, S Castellano, J Hobeika, M Perano, D Rutambuka","Journal of Business Research 140, 482-490, 2022",2022
"How death anxiety influences coping strategies during the COVID-19 pandemic: investigating the role of spirituality, national identity, lockdown and trust",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:_xSYboBqXhAC,"J Partouche-Sebban, S Rezaee Vessal, R Sorio, S Castellano, I Khelladi, ...","Journal of Marketing Management 37 (17-18), 1815-1839, 2021",2021
E-reputation in web entrepreneurship,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:L8Ckcad2t8MC,"V Dutot, S Castellano","Research Anthology on Strategies for Using Social Media as a Service and …, 2021",2021
"Play it like Burberry!: The effect of reputation, brand image, and social media on e-reputation–luxury brands and their digital natives fans",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:YFjsv_pBGBYC,"I Khelladi, S Castellano","Handbook of Research on the Evolution of IT and the Rise of E-Society, 281-300, 2019",2019
Les nouveaux territoires de la responsabilité sociétale des entreprises (RSE): la générativité comme levier de l'entrepreneuriat des seniors,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:roLk4NBRz8UC,"A Maâlaoui, S Castellano, L Safraou, A Fayolle",,2013
Senior entrepreneurship: liabilities and accelerators of legitimacy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:LkGwnXOMwfcC,"S Castellano, A Maalaoui, I Safraou, O Ivanova","8e congrès de l’Académie de l’Entrepreneuriat October, 2013",2013
L’AUTOENTREPRENEUR DANS TOUS SES ÉTATS,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:W7OEmFMy1HYC,"A Maâlaoui, S Castellano","L'Harmattan, 2013",2013
Origine et développement historique de la légitimité,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:NhqRSupF_l8C,S Castellano,"Revue Interdisciplinaire Droit et Organisations, 8, 2022",2022
Individuals' motivations to purchase virtual clothes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:abG-DnoFyZgC,"I Khelladi, C Lejealle, SR Vessal, S Castellano","2021 IEEE International Conference on Technology Management, Operations and …, 2021",2021
The role of members’ lived experience in the evolution of online communities toward online communities of practice,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:D03iK_w7-QYC,"C Lejealle, S Castellano, I Khelladi","Journal of Knowledge Management, 2021",2021
Will the world ever accept non-alcoholic wine?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:CHSYGLWDkRkC,"S Castellano, I Khelladi, R Sorio","The Conversation, 2021",2021
