title,link,authors,publication,article_year
Sur l'usage de critères de représentation parcimonieuse pour la RdF par méthodes à noyau,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&cstart=200&pagesize=100&citation_for_view=yxk7n1kAAAAJ:-FonjvnnhkoC,"P Honeiné, C Richard","Journée thématique: représentations parcimonieuses, 2008",2008
Distribution temps-fréquence à paramétrisation radialement Gaussienne optimisée pour la classification,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&cstart=200&pagesize=100&citation_for_view=yxk7n1kAAAAJ:r0BpntZqJG4C,"P Honeine, C Richard","traitement du signal, 2008",2008
Multiple instance learning for histopathological breast cancer image classification Download PDF,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&cstart=200&pagesize=100&citation_for_view=yxk7n1kAAAAJ:86PQX7AUzd4C,"CP Sudharshan, F Spanhol, LE Oliveira, L Heutte, P Honeine",,
High-level Prior-based Loss Functions for Medical Image Segmentation: A Survey Open Website,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&cstart=200&pagesize=100&citation_for_view=yxk7n1kAAAAJ:hCrLmN-GePgC,"R El Jurdi, C Petitjean, P Honeine, V Cheplygina, F Abdallah",,
Kernel nonnegative matrix factorization without the pre-image problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&cstart=200&pagesize=100&citation_for_view=yxk7n1kAAAAJ:FPJr55Dyh1AC,"P Honeine, M Kallas",,
Stationnarité Relative et Approches Connexes Stationnarité Relative et Approches Connexes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&cstart=200&pagesize=100&citation_for_view=yxk7n1kAAAAJ:HbR8gkJAVGIC,"P Flandrin, C Richard, PO Amblard, P Borgnat, P Honeine, H Amoud, ...",,
Distribution temps-fréquence à paramétrisation radialement Gaussienne optimisée pour la classification Distribution temps-fréquence à paramétrisation radialement Gaussienne …,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&cstart=200&pagesize=100&citation_for_view=yxk7n1kAAAAJ:e_rmSamDkqQC,"P Honeine, C Richard",,
Approches géométriques pour l’estimation des fractions d’abondance en traitement de données hyperspectrales Approches géométriques pour l’estimation des fractions d’abondance …,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&cstart=200&pagesize=100&citation_for_view=yxk7n1kAAAAJ:MLfJN-KU85MC,"P Honeine, C Richard, NH Nguyen",,
Preimage Problem for Graph Data,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&cstart=200&pagesize=100&citation_for_view=yxk7n1kAAAAJ:ILKRHgRFtOwC,"B Gaüzere, P Honeine",,
Sur la caractérisation de non-stationnarités par la méthode des substituts,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&cstart=200&pagesize=100&citation_for_view=yxk7n1kAAAAJ:4MWp96NkSFoC,"CR Hassan Amoud, P Honeine, P Flandrin, P Borgnat",,
Distribution temps-fréquencea paramétrisation radialement Gaussienne optimisée pour la classification Optimizing time-frequency representations for signal classification using …,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&cstart=200&pagesize=100&citation_for_view=yxk7n1kAAAAJ:Z5m8FVwuT1cC,"P Honeine, C Richard",,
"Semantically Enhanced Catalogue Search Model for Remotely Sensed Imagery.............. Y. Lin, H. Xu, and Y. Bai 1256 Methodologies and Applications to: Oceans and Water …",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&cstart=200&pagesize=100&citation_for_view=yxk7n1kAAAAJ:eq2jaN3J8jMC,"A Halimi, GS Buller, S McLaughlin, P Honeine, Z Sun, H Lee, Y Ahn, ...",,
"Guest Reviewers, Journal of Classification Volume 32, 2015",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&cstart=200&pagesize=100&citation_for_view=yxk7n1kAAAAJ:WA5NYHcadZ8C,"A Albatineh, M Hoffman, CJ Anderson, P Honeine, A Bar-Hen, JZ Huang, ...",,
Détection mono-classe: peut-on attraper le centroide au lasso?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&cstart=200&pagesize=100&citation_for_view=yxk7n1kAAAAJ:LPZeul_q3PIC,"P NADER, P HONEINE, P BEAUSEROY",,
Vigires’ eau,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&cstart=200&pagesize=100&citation_for_view=yxk7n1kAAAAJ:4fKUyHm3Qg0C,"H Yin, F CAMPAN, BK GUEPIE, Z NOUMIR, L FILLATRE, P HONEINE, ...",,
Machine learning using radio-fingerprints for localization in WSNs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&cstart=200&pagesize=100&citation_for_view=yxk7n1kAAAAJ:NhqRSupF_l8C,"S Mahfouz, F Mourad-Chehade, P Honeine, J Farah, H Snoussi",,
Nonlinear adaptive filtering with Mercer kernels and a coherence-based model reduction criterion,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&cstart=200&pagesize=100&citation_for_view=yxk7n1kAAAAJ:RHpTSmoSYBkC,"C Richard, JCM Bermudez, P Honeiné",,
Méthode d’apprentissage appliquée à la détection de sources de bruits environnementaux,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&cstart=200&pagesize=100&citation_for_view=yxk7n1kAAAAJ:HDshCWvjkbEC,"I HAFID, P HONEINE",,
,,,,
