title,link,authors,publication,article_year
Chapitre 6. Les entretiens,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iJUWw-EAAAAJ&pagesize=100&citation_for_view=iJUWw-EAAAAJ:qjMakFHDy7sC,"F Chevalier, V Meyer","Françoise Chevalier éd., Les méthodes de recherche du DBA, 108-125, 2018",2018
Performance management: an american technology in a French multinational enterprise established in China,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iJUWw-EAAAAJ&pagesize=100&citation_for_view=iJUWw-EAAAAJ:2osOgNQ5qMEC,V Meyer,"Université Paris-Saclay (ComUE), 2018",2018
Un livre sur le travail qui se lit comme un roman,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iJUWw-EAAAAJ&pagesize=100&citation_for_view=iJUWw-EAAAAJ:zYLM7Y9cAGgC,V Meyer,"Annales des Mines-Gerer et comprendre, 71-73, 2020",2020
Strategies for Interviewing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iJUWw-EAAAAJ&pagesize=100&citation_for_view=iJUWw-EAAAAJ:9yKSN-GCB0IC,"F Chevalier, V Meyer","Research Methods for the DBA, 2019",2019
Évaluez-moi! L'évaluation au travail: les ressorts d'une fascination,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iJUWw-EAAAAJ&pagesize=100&citation_for_view=iJUWw-EAAAAJ:UeHWp8X0CEIC,V Meyer,"Annales des Mines-Gerer et comprendre, 97-99, 2014",2014
The Transnational Transfer of HRM Practices in MNCs: A Sociomaterial Framework based on the Investigation of Performance Management in China,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iJUWw-EAAAAJ&pagesize=100&citation_for_view=iJUWw-EAAAAJ:d1gkVwhDpl0C,"V Meyer, S Saint-Onge, F Chevalier",,
,,,,
