title,link,authors,publication,article_year
Collaboration in Humanitarian Supply Chains: An Organisational Culture Framework,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fz4zTlEAAAAJ&pagesize=100&citation_for_view=fz4zTlEAAAAJ:d1gkVwhDpl0C,"SR Prasanna, I Haavisto","International Journal of Production Research, 1-15, 2018",2018
Green purchasing practices: a study of eprocurement in B2B buying in Indian small and medium enterprises,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fz4zTlEAAAAJ&pagesize=100&citation_for_view=fz4zTlEAAAAJ:u5HHmVD_uO8C,"PS Raghavendran, MJ Xavier, D Israel","Journal of supply Chain and operations Management 10 (1), 13-23, 2012",2012
Management ingredients to embrace the new paradigm: Green,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fz4zTlEAAAAJ&pagesize=100&citation_for_view=fz4zTlEAAAAJ:u-x6o8ySG0sC,S Ragavendran,"European Business Review 27 (3), 318-333, 2015",2015
The Relationship between Organisational Culture and Humanitarian Supply Chain Collaboration in Long-Term Aid,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fz4zTlEAAAAJ&pagesize=100&citation_for_view=fz4zTlEAAAAJ:qjMakFHDy7sC,SR Prasanna,"Hanken School of Economics, Helsinki, 2018",2018
The role of supplier innovativeness in the humanitarian context,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fz4zTlEAAAAJ&pagesize=100&citation_for_view=fz4zTlEAAAAJ:UeHWp8X0CEIC,SR Prasanna,"Annals of Operations Research, 1-19, 2021",2021
Organizational culture and its relationship with supply chain collaboration: a systematic literature review,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fz4zTlEAAAAJ&pagesize=100&citation_for_view=fz4zTlEAAAAJ:2osOgNQ5qMEC,SR Prasanna,,
Organizational culture and supply chain collaboration: a humanitarian context,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fz4zTlEAAAAJ&pagesize=100&citation_for_view=fz4zTlEAAAAJ:9yKSN-GCB0IC,SR Prasanna,,
,,,,
