title,link,authors,publication,article_year
The Role of the Cerebellar and Vestibular Networks in Anxiety Disorders and Depression: the Internal Model Hypothesis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:qUcmZB5y_30C,P Hilber,"The Cerebellum, 1-10, 2022",2022
"Vestibular graviception during early postnatal development builds basis of motor, cognitive and emotional adult behaviours in mice",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:YOwf2qJgpHMC,"A Le Gall, P Hilber, J Toulouse, ML Machado, B Philoxene, P Denise, ...","ACTA PHYSIOLOGICA 217, 126-126, 2016",2016
Pre-clinical animal models and targeted therapies on cognition: Direct Impact of the PI3K inhibitor buparlisib,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:QIV2ME_5wuYC,"M Dubois, MC Tonon, N Perzo, P Gandolfo, P Hilber, F Joly, H Castel","19th Annual meeting of the LARC-Neuroscience network, 2015",2015
Un inhibiteur PI3K utilisé dans le traitement du cancer entraîne une désinhibition comportementale/impulsivité dans un modèle murin,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:mVmsd5A6BfQC,"M Dubois, MC Tonon, P Gandolfo, P Hilber, F Joly, H Castel","8èmes Journées du Canceropole Nord-Ouest, 2015",2015
Compulsivity/impulsivity syndrome after treatment with BKM120 in a preclinical mouse model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:Wp0gIr-vW9MC,"M Dubois, MC Tonon, P Gandolfo, P Hilber, F Joly, H Castel","Keystone Symposia “PI3-kinase signaling pathways in disease”, 2015",2015
Measuring Equilibrium and Motor Learning Deficits during Aging with the Elevated Unsteady Board in Mice with Precocious Cerebellar Degeneration,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:roLk4NBRz8UC,P Hilber,"Measuring Behavior 2014, 2014",2014
"Evaluation of the impact of a targeted therapy on cognitive functions, cerebral cytochrome oxidase activity, and hippocampal cell proliferation",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:7PzlFSSx8tAC,"M Dubois, V Le Joncour, N Lapinte, MC Tonon, Y Anouar, F Proust, ...","International Cancer and Cognition Task Force Symposium, 2014",2014
Impact of the anti-angiogenic therapy immuno-neutralizing VEGFA on cognitive functions in mice: toward the understanding of neurobiological mechanisms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:dhFuZR0502QC,"M Dubois, MC Tonon, P Gandolfo, F Joly, P Hilber, H Castel","International Cancer and Cognition Task Force Symposium, 2014",2014
DELAYED AND LOCAL PACAP DELIVERY IMPROVES FUNCTIONAL RECOVERY AFTER BRAIN STROKE BY PROMOTING MI2 POLARIZED MICROGLIA,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:_FxGoFyzp5QC,"C Brifault, M Grasm, P Hilber, V May, H Vaudry, D Vaudry, O Wurtz","JOURNAL OF MOLECULAR NEUROSCIENCE 51, S212-S213, 2013",2013
L’“alcoolaitement”,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:5nxA0vEk-isC,P Hilber,"Correspondances en Métabolismes, Hormones, Diabètes et Nutrition 17 (4), 84-113, 2013",2013
