title,link,authors,publication,article_year
Green supply chain management and firms’ performance: Understanding potential relationships and the role of green sourcing and some other green practices,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:4fKUyHm3Qg0C,"ABL de Sousa Jabbour, FC de Oliveira Frascareli, CJC Jabbour","Resources, Conservation and Recycling 104, 366-374, 2015",2015
Brazil’s new national policy on solid waste: challenges and opportunities,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:olpn-zPbct0C,"ABL de Sousa Jabbour, CJC Jabbour, J Sarkis, K Govindan","Clean Technologies and Environmental Policy 16 (1), 7-9, 2014",2014
Circular economy business models and operations management,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:86PQX7AUzd4C,"ABL de Sousa Jabbour, JVR Luiz, OR Luiz, CJC Jabbour, NO Ndubisi, ...","Journal of cleaner production 235, 1525-1539, 2019",2019
Sustainability of supply chains in the wake of the coronavirus (COVID-19/SARS-CoV-2) pandemic: lessons and trends,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:_OXeSy2IsFwC,"ABL de Sousa Jabbour, CJC Jabbour, M Hingley, EL Vilalta-Perdomo, ...","Modern Supply Chain Research and Applications, 2020",2020
An analysis of the literature on humanitarian logistics and supply chain management: paving the way for future studies,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:kzcrU_BdoSEC,"CJC Jabbour, VA Sobreiro, ABL de Sousa Jabbour, ...","Annals of Operations Research 283 (1), 289-307, 2019",2019
Critical success factors and green supply chain management proactivity: shedding light on the human aspects of this relationship based on cases from the Brazilian industry,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:ZuybSZzF8UAC,"CJ Chiappetta Jabbour, AL Mauricio, ABLS Jabbour","Production Planning & Control 28 (6-8), 671-683, 2017",2017
Barriers to the adoption of green operational practices at Brazilian companies: effects on green and operational performance,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:1qzjygNMrQYC,"CJC Jabbour, ABL de Sousa Jabbour, K Govindan, TP De Freitas, ...","International journal of production research 54 (10), 3042-3058, 2016",2016
Mixed methodology to analyze the relationship between maturity of environmental management and the adoption of green supply chain management in Brazil,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:O3NaXMp0MMsC,"AB Jabbour, C Jabbour, K Govindan, D Kannan, AF Arantes","Resources, Conservation and Recycling 92, 255-267, 2014",2014
Unveiling barriers to sustainable public procurement in emerging economies: Evidence from a leading sustainable supply chain initiative in Latin America,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:URolC5Kub84C,"D Delmonico, CJC Jabbour, SCF Pereira, ABL de Sousa Jabbour, ...","Resources, Conservation and Recycling 134, 70-79, 2018",2018
Analysing green supply chain management practices in Brazil’s electrical/electronics industry using interpretive structural modelling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:HDshCWvjkbEC,"K Govindan, D Kannan, K Mathiyazhagan, ABLS Jabbour, CJC Jabbour","International Journal of Environmental Studies 70 (4), 477-493, 2013",2013
"The green bullwhip effect, the diffusion of green supply chain practices, and institutional pressures: Evidence from the automotive sector",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:Mojj43d5GZwC,"BMRP Seles, ABL de Sousa Jabbour, CJC Jabbour, RM Dangelico","International Journal of Production Economics 182, 342-355, 2016",2016
"Stakeholders, innovative business models for the circular economy and sustainable performance of firms in an emerging economy facing institutional voids",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:OP4eGU-M3BUC,"CJC Jabbour, S Seuring, ABL de Sousa Jabbour, D Jugend, PDC Fiorini, ...","Journal of environmental management 264, 110416, 2020",2020
Management theory and big data literature: From a review to a research agenda,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:ILKRHgRFtOwC,"P de Camargo Fiorini, BMRP Seles, CJC Jabbour, EB Mariano, ...","International Journal of Information Management 43, 112-129, 2018",2018
"Green supply chain practices and environmental performance in Brazil: Survey, case studies, and implications for B2B",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:tKAzc9rXhukC,"ABL de Sousa Jabbour, D Vazquez-Brust, CJC Jabbour, H Latan","Industrial Marketing Management 66, 13-28, 2017",2017
Sustainable development in Asian manufacturing SMEs: Progress and directions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:mlAyqtXpCwEC,"ABL de Sousa Jabbour, NO Ndubisi, BMRP Seles","International Journal of Production Economics 225, 107567, 2020",2020
Enablers of sustainable supply chain management and its effect on competitive advantage in the Colombian context,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:hMsQuOkrut0C,"JRC Vargas, CEM Mantilla, ABL de Sousa Jabbour","Resources, Conservation and Recycling 139, 237-250, 2018",2018
"Ethical awareness, ethical judgment, and whistleblowing: A moderated mediation analysis",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:VL0QpB8kHFEC,"H Latan, CJC Jabbour, ABL de Sousa Jabbour","Partial Least Squares Path Modeling, 311-337, 2017",2017
‘Whistleblowing triangle’: Framework and empirical evidence,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:BUYA1_V_uYcC,"H Latan, CJC Jabbour, ABL de Sousa Jabbour","Journal of Business Ethics 160 (1), 189-204, 2019",2019
