title,link,authors,publication,article_year
Stochastic data envelopment analysis: A quantile regression approach to estimate the production frontier,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7MtUDEwAAAAJ&pagesize=100&citation_for_view=7MtUDEwAAAAJ:2osOgNQ5qMEC,"S Jradi, J Ruggiero","European Journal of Operational Research 278 (2), 385-393, 2019",2019
Tracking carbon footprint in French vineyards: A DEA performance assessment,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7MtUDEwAAAAJ&pagesize=100&citation_for_view=7MtUDEwAAAAJ:d1gkVwhDpl0C,"S Jradi, TB Chameeva, B Delhomme, A Jaegler","Journal of Cleaner Production 192, 43-54, 2018",2018
Quantile estimation of the stochastic frontier model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7MtUDEwAAAAJ&pagesize=100&citation_for_view=7MtUDEwAAAAJ:qjMakFHDy7sC,"S Jradi, CF Parmeter, J Ruggiero","Economics letters 182, 15-18, 2019",2019
The measurement of revenue inefficiency over time: An additive perspective,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7MtUDEwAAAAJ&pagesize=100&citation_for_view=7MtUDEwAAAAJ:u5HHmVD_uO8C,"S Jradi, TB Chameeva, J Aparicio","Omega 83, 167-180, 2019",2019
Quantile estimation of stochastic frontiers with the normal-exponential specification,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7MtUDEwAAAAJ&pagesize=100&citation_for_view=7MtUDEwAAAAJ:UeHWp8X0CEIC,"S Jradi, CF Parmeter, J Ruggiero","European Journal of Operational Research 295 (2), 475-483, 2021",2021
Slack Based Revenue Inefficiency Decomposition: An Application to the French Wine sector,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7MtUDEwAAAAJ&pagesize=100&citation_for_view=7MtUDEwAAAAJ:u-x6o8ySG0sC,"S Jradi, TB Chameeva, J Aparicio","ILS, 2016",2016
Stochastic DEA Models: Estimating Production Frontiers with Composed Error Models,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7MtUDEwAAAAJ&pagesize=100&citation_for_view=7MtUDEwAAAAJ:IjCSPb-OGe4C,"S Jradi, J Ruggiero","Data Envelopment Analysis Journal 5 (2), 395-411, 2021",2021
Performance Efficiency of Sustainable Practices in French Wine Regions Using Data Envelopment Analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7MtUDEwAAAAJ&pagesize=100&citation_for_view=7MtUDEwAAAAJ:9yKSN-GCB0IC,"S JRADI, TB CHAMEEVA, A JEAGLER",,
,,,,
