title,link,authors,publication,article_year
Graph kernels based on linear patterns: Theoretical and experimental comparisons,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cnlixw0AAAAJ&pagesize=100&citation_for_view=cnlixw0AAAAJ:eQOLeE2rZwMC,"L Jia, B Gaüzère, P Honeine","Expert Systems with Applications 189, 116095, 2022",2022
A Metric Learning Approach to Graph Edit Costs for Regression,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cnlixw0AAAAJ&pagesize=100&citation_for_view=cnlixw0AAAAJ:RHpTSmoSYBkC,"L Jia, B Gaüzère, F Yger, P Honeine","Joint IAPR International Workshops on Statistical Techniques in Pattern …, 2021",2021
A graph pre-image method based on graph edit distances,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cnlixw0AAAAJ&pagesize=100&citation_for_view=cnlixw0AAAAJ:4JMBOYKVnBMC,"L Jia, B Gaüzère, P Honeine","Joint IAPR International Workshops on Statistical Techniques in Pattern …, 2021",2021
graphkit-learn Documentation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cnlixw0AAAAJ&pagesize=100&citation_for_view=cnlixw0AAAAJ:hqOjcs7Dif8C,L Jia,,2022
Bridging graph and kernel spaces: a pre-image perspective,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cnlixw0AAAAJ&pagesize=100&citation_for_view=cnlixw0AAAAJ:geHnlv5EZngC,L Jia,"Normandie, 2021",2021
graphkit-learn: A Python library for graph kernels based on linear patterns,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cnlixw0AAAAJ&pagesize=100&citation_for_view=cnlixw0AAAAJ:IWHjjKOFINEC,"L Jia, B Gaüzère, P Honeine","Pattern Recognition Letters 143, 113-121, 2021",2021
,,,,
