title,link,authors,publication,article_year
"Plants and the Environment. Influence of summer sowing dates, N fertilization and irrigation on autumn VSP accumulation and dynamics of spring regrowth in alfalfa (Medicago …",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TkTj0I4AAAAJ&cstart=100&pagesize=100&citation_for_view=TkTj0I4AAAAJ:CHSYGLWDkRkC,"E Justes, P Thiébeau, JC Avice, G Lemaire, JJ Volenec, A Ourry","Journal of Experimental Botany 53 (366), 2002",2002
"N uptake, N partitioning and taproot VSP accumulation of Medicago sativa L. are influenced by MeJa",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TkTj0I4AAAAJ&cstart=100&pagesize=100&citation_for_view=TkTj0I4AAAAJ:ns9cj8rnVeAC,"F Meuriot, C Noquet, JC Avice, L Rossato, A Ourry",,2001
Fructans from elongating leaf bases are a source of carbon for regrowth after defoliation in,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TkTj0I4AAAAJ&cstart=100&pagesize=100&citation_for_view=TkTj0I4AAAAJ:qxL8FJ1GzNcC,"A MORVAN-BERTRAND, JC AVICE, MP PRUD'HOMME","Proceedings of the... International Grassland Congress 19, 49, 2001",2001
Rôles des réserves N et C durant la repousse foliaire printanière ou après une coupe chez les espèces fourragères,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TkTj0I4AAAAJ&cstart=100&pagesize=100&citation_for_view=TkTj0I4AAAAJ:roLk4NBRz8UC,"S Louahlia, JC Avice, F Le Dily, TC Kim, N Corre, JC Simon, JH Macduff, ...","Fonctionnement des peuplements végétaux sous contraintes environnementales, 1998",1998
Intraspecific competition in lucerne and relationship with reserve availability,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TkTj0I4AAAAJ&cstart=100&pagesize=100&citation_for_view=TkTj0I4AAAAJ:BqipwSGYUEgC,"JC Avice, A Ourry, G Lemaire, J Boucaud","18. International Grassland Congress, 1997",1997
"Mobilisation des reserves azotees et carbonees chez medicago sativa l.: etude par marquage# 1# 5n et# 1# 3c, caracterisation des proteines de reserve du pivot et relations avec …",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TkTj0I4AAAAJ&cstart=100&pagesize=100&citation_for_view=TkTj0I4AAAAJ:ULOm3_A8WrAC,JC Avice,"Caen, 1996",1996
"Like urease inhibitors, VNT4 additive mixed with nitrogen fertilizers improves grain yield and nitrogen use efficiency in bread wheat: an alternative solution for tomorrow?",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TkTj0I4AAAAJ&cstart=100&pagesize=100&citation_for_view=TkTj0I4AAAAJ:wbdj-CoPYUoC,"V MAIGNAN, JC AVICE, R VECRIN, R COQUEREL, P GELIOT",,
"Comme les inhibiteurs de l’uréase, l’additif VNT4 apporté en mélange aux engrais azotés améliore le rendement et l’efficience d’usage de l’azote du blé tendre: une solution …",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TkTj0I4AAAAJ&cstart=100&pagesize=100&citation_for_view=TkTj0I4AAAAJ:J-pR_7NvFogC,"V MAIGNAN, JC AVICE, R VECRIN, R COQUEREL, P GELIOT",,
Responses of rapeseed to sulphur restriction: contribution of sulphur reserves and role of sulphate transporters for sustain seed yield,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TkTj0I4AAAAJ&cstart=100&pagesize=100&citation_for_view=TkTj0I4AAAAJ:D_sINldO8mEC,"JC Avice, L Dubousset, P Etienne, V Gautier, N Nesi, B Végétales, ...",,
Identification of a protease inhibitor (BnD22) involved in leaf senescence process of oilseed rape (Brassica napus L.),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TkTj0I4AAAAJ&cstart=100&pagesize=100&citation_for_view=TkTj0I4AAAAJ:vRqMK49ujn8C,"M Desclos, L Le Gou, P Etienne, J Bonnefoy, L Simon, F Le Dily, A Ourry, ...",,
