title,link,authors,publication,article_year
Antecedents of SME embeddedness in inter-organizational networks: Evidence from China's aerospace industry,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ex4TwC8AAAAJ&pagesize=100&citation_for_view=Ex4TwC8AAAAJ:B3FOqHPlNUQC,"Y Wang, A Van Assche, E Turkina","Journal of Small Business & Entrepreneurship 30 (1), 53-75, 2018",2018
Decoding China’s COVID‐19 ‘virus exceptionalism’: Community‐based digital contact tracing in Wuhan,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ex4TwC8AAAAJ&pagesize=100&citation_for_view=Ex4TwC8AAAAJ:q3oQSFYPqjQC,"P Boeing, Y Wang","R&D Management 51 (4), 339-351, 2021",2021
"Economic complexity, product space network and Quebec’s global competitiveness",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ex4TwC8AAAAJ&pagesize=100&citation_for_view=Ex4TwC8AAAAJ:D_sINldO8mEC,"Y Wang, E Turkina","Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences …, 2019",2019
,,,,
