title,link,authors,publication,article_year
Comment concevoir et déployer une politique Diversité à l'international?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=C6oJtcgAAAAJ&pagesize=100&citation_for_view=C6oJtcgAAAAJ:2osOgNQ5qMEC,A Orlinska,"EDF, 2929 avenue Étienne Méhul, 34070 Montpellier, 2015",2015
The ambivalence of Diversity Management local reinterpretations in the Polish subsidiaries of four international companies: a multi-case study approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=C6oJtcgAAAAJ&pagesize=100&citation_for_view=C6oJtcgAAAAJ:UeHWp8X0CEIC,A Orlinska,"Université Paris Dauphine, 2019",2019
Corporate Commitment to Diversity in the Local Perspective of the Polish Subsidiary of a Multinational Corporation: A Qualitative Exploratory Study,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=C6oJtcgAAAAJ&pagesize=100&citation_for_view=C6oJtcgAAAAJ:9yKSN-GCB0IC,AA HAmzA-OrlinskA,"Journal of Corporate Responsibility and Leadership 4 (4), 19-33, 2017",2017
Corporate Commitment to Diversity in the Local Perspective of the Polish Subsidiary of EDF: A Qualitative Exploratory Study,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=C6oJtcgAAAAJ&pagesize=100&citation_for_view=C6oJtcgAAAAJ:qjMakFHDy7sC,A Orlinska,"Central and Eastern Europe in the Changing Business Environment, 171, 2017",2017
,,,,
