title,link,authors,publication,article_year
Crude oil supply chain risk management with DEMATEL–ANP,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zuUqL2IAAAAJ&pagesize=100&citation_for_view=zuUqL2IAAAAJ:u5HHmVD_uO8C,"S Fazli, R Kiani Mavi, M Vosooghidizaji","Operational Research 15 (3), 453-480, 2015",2015
Supply chain coordination under information asymmetry: a review,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zuUqL2IAAAAJ&pagesize=100&citation_for_view=zuUqL2IAAAAJ:d1gkVwhDpl0C,"M Vosooghidizaji, A Taghipour, B Canel-Depitre","International Journal of Production Research, 2019",2019
Crude oil supply chain risk management with fuzzy analytic hierarchy process,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zuUqL2IAAAAJ&pagesize=100&citation_for_view=zuUqL2IAAAAJ:zYLM7Y9cAGgC,"M Vosooghidizaji, S Fazli, R Kiani Mavi","American Journal of Scientific Research 46 (1), 34-42, 2012",2012
Information Asymmetry in Supply Chain Coordination: State of the Art,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zuUqL2IAAAAJ&pagesize=100&citation_for_view=zuUqL2IAAAAJ:UeHWp8X0CEIC,"M Vosooghidizaji, A Taghipour, B Canel-Depitre","Journal of Industrial and Intelligent Information Vol 8 (2), 2020",2020
Coordination de la chaîne d’approvisionnement décentralisée,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zuUqL2IAAAAJ&pagesize=100&citation_for_view=zuUqL2IAAAAJ:IjCSPb-OGe4C,M Vosooghidizaji,"5ème journée des doctorants et jeunes chercheurs du PRSH, 2018",2018
Coordinating decentralised supply chain [Coordination de la chaîne d’approvisionnement décentralisée],https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zuUqL2IAAAAJ&pagesize=100&citation_for_view=zuUqL2IAAAAJ:qjMakFHDy7sC,M Vosooghidizaji,"HAL Post-Print, 2018",2018
Coordinating decentralised supply chain,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zuUqL2IAAAAJ&pagesize=100&citation_for_view=zuUqL2IAAAAJ:2osOgNQ5qMEC,M Vosooghidizaji,"HAL, 2018",2018
A literature review on information asymmetry in supply chain coordination,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zuUqL2IAAAAJ&pagesize=100&citation_for_view=zuUqL2IAAAAJ:9yKSN-GCB0IC,"M Vosooghidizaji, A Taghipour, B Canel-Depitre",,
,,,,
